Date,VNQ,VNQI,SCHH,IYR,XLRE,RWR,RWX,RWO,ICF,REET,REM,USRT,FREL,IFGL,MORL,KBWY,REZ,GQRE,WPS,MORT,SRET,URE,FRI,DRW,MRRL,ROOF,GRI,FFR,DRN,TAO,PSR,IFEU,EWRE,SRS,DRV,WREI,REK,LRET,PRME
2017-10-17,79.545013,55.903412,39.980499,81.230003,31.156940000000002,89.23162099999999,36.446018,46.127045,98.418571,24.197847,41.850006,46.740066999999996,23.043156,28.262901,14.123653,38.189999,60.572506000000004,60.16136899999999,38.880001,22.65258,15.65,64.282135,22.934701999999998,29.916209999999996,14.079754000000001,25.425365,42.675896,43.277405,22.650354,26.574738,78.736122,36.867313,26.558271,29.503071000000002,10.329564999999999,45.699699,15.868247,23.765385000000002,19.015508999999998
2017-10-18,79.460266,56.172314,39.894459000000005,81.139999,31.10005,89.032425,36.606155,46.136581,98.30321500000001,24.254103,41.947227000000005,46.758755,22.977929999999997,28.453996999999998,14.161931,38.259997999999996,60.477608,60.457874,38.98,22.724867,15.74,64.154953,22.9056,30.103243,14.098829,25.489784,42.951415999999995,43.429317,22.592623,27.047409000000002,78.570633,37.209381,26.542986,29.572538,10.329564999999999,45.613341999999996,15.878178,23.82935,19.015508999999998
2017-10-19,79.224838,55.912678,39.751059999999995,81.08000200000001,31.081083000000003,88.776314,36.559055,45.945934,97.95719100000001,24.141596,42.017936999999996,46.51585,22.959293,28.368004,14.200201999999999,38.18,60.36373100000001,60.103984999999994,38.689999,22.742939,15.72,64.06691,22.818285,29.832043,14.117907999999998,25.443770999999998,42.704403000000006,43.220432,22.380936,26.522216999999998,78.706924,37.114365,26.459883,29.651926,10.438504,45.613341999999996,15.907969,23.685425,19.015508999999998
2017-10-20,78.772827,55.782867,39.53117,80.82,31.033673999999998,88.22614300000001,36.398918,45.726688,97.457352,24.057219,41.956070000000004,46.37571,22.866117000000003,28.167353000000002,14.161931,37.799999,60.28781899999999,59.807480000000005,38.57,22.71583,15.65,63.656036,22.701864,29.794638,14.031672,25.158506,42.561896999999995,42.992554,22.005674,26.732294,78.366203,36.677273,26.332836,29.830553000000002,10.626675,45.258334999999995,15.927829000000001,23.293631,19.015508999999998
2017-10-23,78.47148100000001,55.263611,39.445126,80.440002,30.919895,88.09335300000001,36.078635999999996,45.459782000000004,97.20744300000001,23.925964,41.540661,46.160839,22.763618,27.947596,13.901654999999998,37.299999,60.259345999999994,59.491848,38.380001,22.444761,15.56,63.020171999999995,22.62425,29.542139000000002,13.819523,24.983667,42.333884999999995,42.736198,21.774744000000002,26.55723,78.035217,36.268696000000006,26.281253999999997,30.118340000000003,10.735617,45.258334999999995,16.027126000000003,23.196793,18.875963
2017-10-24,78.000633,55.467602,39.177444,80.040001,30.720781,87.391411,36.135151,45.335865000000005,96.41924300000001,23.804081,41.469947999999995,45.852531,22.651802,27.93804,13.840411999999999,37.16,59.604561,59.415333,38.18,22.417654000000002,15.58,62.384296,22.478725,29.645012,13.774496,25.002073,42.16288,42.612770000000005,21.380239000000003,26.846087,77.60688,36.249691,26.040537,30.425974,10.933691,44.807384000000006,16.106569,22.813876999999998,18.838749
2017-10-25,77.77462,55.003986,39.081844,79.730003,30.64493,87.239639,35.852558,45.068951,96.246223,23.700956,41.045704,45.665690999999995,22.577261,27.737391,13.541865,36.959998999999996,59.509663,59.271862,37.939999,22.146584,15.44,61.865807,22.420517,29.448624,13.444823000000001,24.818029,41.801865,42.365902,21.178176999999998,26.627256,77.460854,36.088153999999996,26.010925,30.654217,11.032727000000001,44.673065,16.176083,22.548241,18.838749
2017-10-26,77.134277,55.031799,38.8046,79.239998,30.474255,86.594627,35.796032000000004,44.916431,95.400352,23.607198999999998,40.161865,45.422787,22.474768,27.756497999999997,13.02132,36.66,59.054161,59.01361800000001,38.040001000000004,21.703829000000002,15.3,61.122326,22.27499,29.43927,12.744273,24.597179,41.763859000000004,42.356403,20.67783,26.714788000000002,77.295357,36.088153999999996,25.896296,31.021395000000002,11.280321,44.509949,16.255522,22.317249,18.838749
2017-10-27,77.482704,55.115253,38.928886,79.599998,30.521664,86.92660500000001,35.956177000000004,45.030827,95.727173,23.691578,40.674492,45.572262,22.549307000000002,27.804274,13.266282,36.75,59.718437,59.30055600000001,38.130001,21.893579000000003,15.39,61.679939000000005,22.342905,29.476677000000002,13.270832,24.781223,41.906364,42.432362,20.918381,26.390919,77.480324,36.050152000000004,25.922087,30.713762,11.131763000000001,44.509949,16.186007999999998,22.650414,18.838749
2017-10-30,77.416779,54.957626,38.861961,79.769997,30.711298,86.736908,35.993851,45.021294,95.756012,23.643763,40.276764,45.544235,22.632238,27.775608000000002,13.013663000000001,36.509997999999996,59.803841000000006,59.090134,37.98,21.776115,15.32,61.924507,22.3235,29.355103999999997,12.980843,24.597179,42.039371,42.299438,20.870272,25.997025,77.480324,36.47773,25.945010999999997,30.584753000000003,11.171380000000001,45.008873,16.156219,22.650414,18.838749
